Vendor,Vendor type,Contacto preferente,Lugar,Numero telefonico ,FACTURA?,Column 1
Traveland Ags,Chica,Claudia,Traveland Ags,4491538753,Sí,
Revel Travel,Chica,,"Calle Silos #509 Fracc Trojes de Oriente 1 Esquina con Monte blanco, Silos 801, 20115 Aguascalientes, Ags.",,,
Viajar Agencia,Chica,Irais,Sierra Nevada 121,4492514996,Sí,cuando los sevicios prestados en el extranjero la tarifa va tasa 0 
Turismo VIP,Chica,,"Loc 36, Av. Universidad, Los Bosques del Prado, 20130 Aguascalientes, Ags.",4499124411,,
Global Travents,Mediana,Victoria,"Antiguo Camino a San Ignacio 308, Colinas de San Ignacio, 20016 Aguascalientes, Ags.",4499968578,Sí,
Monkey Trip,Chica,Guadalupe ,Av. Francisco I. Madero 463,4494524198,Sí,Con IVA
Rubi Viajes,Chica,,Nieto 445,4499156105,,
Viajes Chavoya,Mediana,,"Avenída Las Americas Local 13-14, Valle Dorado, 20235 Aguascalientes, Ags.",4499133322,,
Lepsa,Chica,,C. Gral. Ignacio Zaragoza 731,4499186555,,
Intertravel,Chica,,Francisco Primo Verdad 202,4499157192,,
Tourentino,Chica,,La Pera 209,4492930439,,
Turicentro,Mediana,,Av Universidad Y Blvd Aguascalientes 1001,4499140818,,
, ,,,,,